Dataset,Kernel_Type,Hyperparams,Num_Training_RFFs,exact_nmll,approx_nmll,condition_number
kin40k_dataset/y_norm,RBF,-0.6230623650145901_-1.855606217054089_-9.75633169284204,4096,65101.481443145705,65101.48144314568,2721.04433722966
kin40k_dataset/y_norm,RBF,-5.209628147449829_-1.3478694653941634_1.14382308305923,4096,455073523.6000356,455073507.6269651,134199.0361505226
kin40k_dataset/y_norm,RBF,1.5965664336087286_-0.9292009573910622_1.2849265095390514,4096,81247.11870763416,81247.04527022148,1.3504250316239936
kin40k_dataset/y_norm,RBF,1.2884593191064297_0.053942606837574125_-9.303095848106322,4096,71856.80939082116,71856.80939082114,2710.3328350189513
kin40k_dataset/y_norm,RBF,0.6837903698159362_-1.190426369450318_-0.15718270658923572,4096,53518.851009017504,53518.92173045064,20.194163590911185
kin40k_dataset/y_norm,RBF,-1.105791580718864_1.7775368171854509_-9.543603853737142,4096,140109.58826686614,140109.58826689472,10222973.486808576
kin40k_dataset/y_norm,RBF,0.45245915540807147_0.07554626447535817_-9.550098318742661,4096,50362.735008474476,50362.735008474614,15059.010192589043
kin40k_dataset/y_norm,RBF,-5.3797230321648435_-0.009195421511300594_-3.0813259915550884,4096,321051867.9129419,321051867.9101331,1453956804.0186617
song_dataset/y_norm,RBF,-5.209939671280772_-2.017495324337655_-5.13691576070566,4096,4997477108.266978,4997477110.95914,243639603.50033045
song_dataset/y_norm,RBF,-0.2003863527935419_1.7409105039230286_-2.2927483438256235,4096,514258.8611110398,514263.98084633384,82176.97871413149
song_dataset/y_norm,RBF,1.5392557770036994_1.5167041159400911_-9.79717033325778,4096,1022944.5594422077,1022944.559442207,394094.98878650897
song_dataset/y_norm,RBF,1.069573163622306_0.9596703246268947_-8.69704275554208,4096,844011.359942647,844011.3599426528,330923.70444572537
song_dataset/y_norm,RBF,0.4332871371268716_1.5189144032214594_-8.299660679785747,4096,639753.7176084396,639753.7176087376,3615343.8515845197
song_dataset/y_norm,RBF,-2.0535182947074295_-1.7821362709303863_-3.071862006961288,4096,8164637.460765536,8164644.270933733,517654.26219737646
song_dataset/y_norm,RBF,-4.71655636172197_1.1019528254857622_-10.617097620927094,4096,2003515134.6036067,2003515134.6033726,46674969197.973854
song_dataset/y_norm,RBF,-4.027292650212778_-2.019243885017144_-13.215882002447126,4096,647662290.1905116,647662290.1905116,22874787.661206678
uci_protein_dataset/y_norm,RBF,-2.332962252659586_-0.1317844645278543_-11.463367885869749,4096,1891925.8762417943,1891925.8762417948,2986826.9978386993
uci_protein_dataset/y_norm,RBF,-4.535516941706636_-2.0662116800535637_-6.7959832336321195,4096,129069568.09790768,129069568.09790768,5106197.492535542
uci_protein_dataset/y_norm,RBF,-1.6037681639420311_-0.3023559102508011_1.5676431703321114,4096,223307.77868764132,223304.36544082384,2384.9618358373928
uci_protein_dataset/y_norm,RBF,-1.2296610171487474_-0.9728296612619818_1.1240688309123303,4096,81045.09469555021,81041.87179308804,718.7795646950609
uci_protein_dataset/y_norm,RBF,-2.3073122973990703_1.0763618658218719_-3.387764226104096,4096,1173928.1678141959,1173928.167813718,31473784.005477697
uci_protein_dataset/y_norm,RBF,-2.8787806565994556_-0.43188152439446426_-13.405921417942325,4096,5719092.482589905,5719092.482589907,4882484.379873409
uci_protein_dataset/y_norm,RBF,-2.58487476609991_0.5138649485422966_3.612542718043194,4096,2775979.7184271174,2775976.3999577183,62071.8365876062
uci_protein_dataset/y_norm,RBF,-2.8982539078598144_-0.05971572583138007_-4.253056221367121,4096,4173278.8046113043,4173278.8046113206,10666416.322695654
fluorescence_eval/conv_features/onehot_conv/standard,RBF,-3.1444932803354395_0.32770218217161684_-12.519603265430037,4096,7157176.354065036,7157176.354030695,27808343.59524303
