Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Tuning_Time,NMLL,random_seed
aav_eval/conv_features/onehot_conv/des_mut_split,RBF,-0.8072863_-0.19271800000000003_-5.265284,3000,313.9423859119415,117897.018,123
aav_eval/conv_features/onehot_conv/des_mut_split,RBF,-0.8072863_0.21309650000000002_-5.5460602,3000,194.9281849861145,117302.07,124
aav_eval/conv_features/onehot_conv/des_mut_split,RBF,-0.8072863_0.3101371999999999_-5.603476,3000,196.9556884765625,118501.791,125
aav_eval/onehot_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.7987441,3000,247.6919481754303,109999.23,123
aav_eval/onehot_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.7830293,3000,244.23371958732605,111574.598,124
aav_eval/onehot_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.7864948999999999,3000,244.0400745868683,110962.861,125
aav_eval/esm_reps/conv_des_mut_split,RBF,-0.852417_0.24900159999999985_-7.6752836,3000,235.23181104660034,102996.728,123
aav_eval/esm_reps/conv_des_mut_split,RBF,-0.852417_0.2693801_-7.6752836,3000,206.15083384513855,103597.663,124
aav_eval/esm_reps/conv_des_mut_split,RBF,-0.852417_0.2693801_-7.6752836,3000,206.71219420433044,103105.454,125
aav_eval/esm_reps/des_mut_split,RBF,-0.8072863_0.9051809_-1.6683263999999998,3000,185.49598670005798,111547.374,123
aav_eval/esm_reps/des_mut_split,RBF,-0.8072863_1.0761572_-1.7801728,3000,181.85724663734436,111735.642,124
aav_eval/esm_reps/des_mut_split,RBF,-0.8072863_0.9791165999999999_-1.7034987,3000,184.51553797721863,111823.812,125
aav_eval/onehot_conv/mut_des_split,FHTConv1d,-0.6826396999999998_-1.6094379_-0.5186511000000001,3000,146.6345672607422,56856.64,123
aav_eval/onehot_conv/mut_des_split,FHTConv1d,-0.6826396999999998_-1.6094379_-0.4782168,3000,147.72414636611938,56859.131,124
aav_eval/onehot_conv/mut_des_split,FHTConv1d,-0.6826396999999998_-1.6094379_-0.4467755,3000,192.15596055984497,57239.939,125
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-0.6826396999999998_-0.11605590000000002_-4.8745935,3000,166.54600405693054,57120.078,123
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-0.6826396999999998_-0.17233950000000003_-4.8028529,3000,133.70818543434143,56937.118,124
aav_eval/conv_features/onehot_conv/mut_des_split,RBF,-0.6826396999999998_-0.19271800000000003_-4.8077691,3000,133.70438241958618,57968.239,125
aav_eval/esm_reps/conv_mut_des_split,RBF,-0.7729011_0.24900159999999985_-7.228606,3000,147.1107883453369,52745.111,123
aav_eval/esm_reps/conv_mut_des_split,RBF,-0.7729011_0.25385360000000007_-7.228606,3000,138.5699598789215,52568.658,124
aav_eval/esm_reps/conv_mut_des_split,RBF,-0.7729011_0.19271799999999992_-7.1713118,3000,140.16054034233093,52617.361,125
aav_eval/esm_reps/mut_des_split,RBF,-0.7277703999999999_0.9994950999999999_-1.2322537,3000,117.57082867622375,55176.529,123
