Dataset,Kernel_Type,Hyperparams,Num_Fitting_RFFs,Method,P_ratio,max_rank,Losses
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,CG,NA,no_preconditioner,1.0_1.7819083070902326_0.7008216500108294_0.44747893734661426_0.22867477841821213_0.3096665576685764_0.1836872910510636_0.14548681572239566_0.23936119275069986_0.10003385718558014_0.1201284724702153_0.1273329432181602_0.08880622529160742_0.13536328894899785_0.09314212195028494_0.258644374224554_0.062375739265992255_0.09792884442939724_0.06067615917736978_0.06144590367104904_0.042032884485328346_0.05600983003215211_0.05789950071047775_0.05057571748432148_0.04254953954466001_0.0419408453054435_0.03782717404101724_0.04349624103233429_0.0455093857789691_0.04394646633474674_0.029278158810222527_0.039224686893509594_0.027444947352514997_0.0320563628095682_0.03610366699122765_0.025674754856116627_0.048326469125927245_0.03278499070088931_0.03219650597850223_0.037163409205268935_0.02423315301954015_0.028387003366009616_0.04039396353543488_0.02146986004205771_0.04395528510275317_0.02174580214521922_0.02466257747559866_0.026247365479593634_0.022109422496397687_0.026686933326609506_0.02303545048411692_0.027777586605301993_0.024174857106135834_0.020753609696617468_0.020119501390502274_0.031198888439725927_0.016674795241165396_0.020351186975395303_0.028788301076750983_0.019161500501308108_0.013217442205690474_0.024262389538896367_0.03088338122245454_0.05591419491378154_0.012142092293504792_0.017936539547842783_0.013183983446153232_0.014966024572298417_0.01599368395204_0.012943748198564257_0.018501540575472375_0.01897168393510715_0.013532801185124437_0.026816695943386166_0.011745736372902674_0.01772721918177569_0.015061624107070449_0.013213342229068337_0.014480962926646588_0.018962405309856514_0.01662370517471919_0.012312536158066883_0.011513882567459093_0.019777952654028645_0.016706476816206434_0.0493818587444374_0.00992481131560863_0.02701039452640762_0.01250968423101767_0.011171141866106758_0.02054650160017164_0.008590720313649571_0.014575657182199447_0.008502113492505785_0.025927827063974302_0.009456693657979501_0.016279821839811894_0.017320176795435027_0.008703792395302595_0.021886089491038648
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,SVRG,NA,no_preconditioner,0.8978371558289344_0.8198644114365916_0.7552787837128841_0.6996617177340344_0.6509608108200257_0.608018441106675_0.5700406982877074_0.5364016352380254_0.5065699272009571_0.4800793779796336_0.4565161090223124_0.4355118071725719_0.4167393835495157_0.3999094843591803_0.38476734194194917_0.37108974042482173_0.3586820529455988_0.34737535152217486_0.33702362267841507_0.3275011228435149_0.31869990548294136_0.310527542612345_0.3029050542471417_0.2957650500072605_0.289050079523997_0.2827111823484384_0.2767066240001752_0.2710008023075944_0.2655633070427804_0.26036811570425167_0.2553929088714497_0.25061848959275224_0.2460282925805501_0.24160797042392018_0.23734504548757818_0.2332286175746571_0.22924911874713477_0.22539810789758985_0.2216680987395773_0.2180524158307808_0.21454507406870088_0.2111406778119327_0.20783433639179108_0.20462159330043625_0.20149836678385727_0.198460899941561_0.195505718749182_0.19262959668408056_0.1898295248549177_0.187102686720807_0.18444643663965476_0.18185828161360568_0.1793358657062838_0.1768769566952839_0.1744794345971117_0.172141281762997_0.16986057429481102_0.16763547457247283_0.16546422471918767_0.16334514085985677_0.1612766080520426_0.15925707578881906_0.15728505398938075_0.1553591094070171_0.15347786239545588_0.15163998398404901_0.1498441932201439_0.14808925474353019_0.14637397656330126_0.14469720801201255_0.14305783785580845_0.14145479254235574_0.13988703457107146_0.13835356097235205_0.13685340188437667_0.1353856192176243_0.13394930539856706_0.13254358218511986_0.13116759954737217_0.12982053460793336_0.12850159063690608_0.12720999609708972_0.12594500373551623_0.12470588971785274_0.12349195280257788_0.12230251355216115_0.12113691357875457_0.1199945148221506_0.11887469885797419_0.11777686623426417_0.11670043583476533_0.1156448442673983_0.1146095452765047_0.11359400917758018_0.1125977223133114_0.11162018652982511_0.11066091867214073_0.10971945009789218_0.1087953262084521_0.1078881059966527
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,AMSGrad,NA,no_preconditioner,0.1326496600110532_0.10056268679568131_0.01062105095043343_0.018173048067586232_0.031803931758162346_0.042639095719452624_0.026694336757044704_0.013127031357636354_0.011355308573759982_0.011498818719529619_0.009939279700873356_0.008959916456248268_0.008457273818901082_0.007905340013933908_0.007526997644810553_0.0072199495811021384_0.00697417000685577_0.00678245687634188_0.006628957632185547_0.006509714053585858_0.0064170715813974275_0.006347432600296825_0.006296799168833049_0.006262490345730566_0.006242131334207106_0.006233829365091604_0.006236004058015377_0.006247318700438027_0.006266628017339082_0.0062929327141581564_0.006325335990300955_0.006363021093016209_0.006405231865353207_0.006451247742943074_0.00650036592372236_0.006551885809570652_0.006605087872072358_0.00665922604969315_0.006713501869108164_0.006767048155355894_0.006818922418761153_0.006868091894675375_0.006913416231117556_0.0069536290760674815_0.006987331487534413_0.007012979549065791_0.007028881271579076_0.007033203022135442_0.007023984509033975_0.00699917388609008_0.006956683377826417_0.006894474887730316_0.006810710796487969_0.006703940887523933_0.00657334056381478_0.00641902674282612_0.0062424796863402654_0.006047014384304095_0.00583833739846145_0.00562505357689168_0.00541908387164629_0.005235790770588516_0.005093671146408489_0.005013319318757715_0.005015383266960498_0.00511745623998533_0.005330029888001701_0.005652119211934972_0.0060679881663146425_0.006546831583800878_0.0070467529104749314_0.007522637240810244_0.007935517154033204_0.008260055038813056_0.008487467173667697_0.008623401682223187_0.008682502105852481_0.008682323134567516_0.008638794748124614_0.008563977771797772_0.008465749748772703_0.008348596736972165_0.008214763123392503_0.008065284325661448_0.007900730338902708_0.007721660013224944_0.0075288485772209085_0.007323386509361847_0.007106705545624683_0.006880557069693661_0.006646950029278448_0.006408083961001349_0.006166257628933357_0.005923795778298606_0.005682958980912707_0.005445858858623081_0.005214391388584261_0.0049901874165085925_0.004774579747605557_0.004568588967737399
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,CG,26.182947459840076,1600,1.0_0.3213232538984958_0.05278752921768982_0.009330515068405416_0.0032310227930071695_0.004691823554557562_0.00501379738544526_0.0035992381167839023_0.0018065170992764092_0.0015565363727652007_0.0020101921054054422_0.0019235337038356125_0.0012512288425269762_0.0008567966400423346_0.0009570339642824915_0.0010077562724803155_0.000808253070664796_0.0005293150011183931_0.0004795813020886167_0.0005312186719571444_0.0004974151597685605_0.0003424941843670303_0.000258815289989889_0.0002760999341237413_0.0002707626910304352_0.0002221092319968271_0.00015725035653174502_0.00014570042265131623_0.00015567063225329204_0.00013573901214140773_0.00010125330265492242_7.970262491327067e-05_8.42696123025789e-05_8.083861157300247e-05_6.528188667016803e-05_4.742955449233494e-05_4.2924996908744944e-05_4.395569113202497e-05_3.9540681906775726e-05_2.8435885383886833e-05_2.3121753274868247e-05_2.3448653963521332e-05_2.2714016998257395e-05_1.8513654359087983e-05_1.3754984535889344e-05_1.3141389724412488e-05_1.3159707743087002e-05_1.1153829465238746e-05_8.570331848459691e-06_7.218433545223091e-06_7.032759329112282e-06_6.515474440346562e-06_5.019430096578907e-06_3.906870796007754e-06_3.876632984463624e-06_3.6258216322807387e-06_3.1046897818484977e-06_2.3096842252263458e-06_2.1461213496592922e-06_2.0379346637225844e-06_1.7945331093229108e-06_1.4243360572932897e-06_1.1775973541543145e-06_1.1457100763946947e-06_1.0476526216641311e-06_8.449564120119822e-07
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.4701868288258673_1.488503077974549_-0.5559783514308828,16384,SVRG,26.182947459840076,1600,0.12972889866057194_0.22673153241986255_1.0802122047775562_2.282001259613506_1.4458846480600458_0.9850674290326114_0.6940148257958568_0.5009353147609894_0.36806519418643835_0.27499823101264054_0.2082065058489564_0.15972376348084807_0.12378061869272312_0.09689200695028752_0.07640285558145483_0.06068238663082579_0.048438612949668926_0.038858830802425096_0.03127743922764452_0.025261758142284152_0.020448260067155603_0.016591893201177408_0.01348322093002796_0.010976433115240734_0.008945422440984242_0.007300436481333233_0.0059628504569394815_0.00487631892458801_0.003990424907807498_0.0032695193418433373_0.0026804695074177554_0.0022007865821338764_0.0018081713266650985_0.001488641996623107_0.001226808701322452_0.0010142379117320222_0.0008400126751866026_0.0006993186410722795_0.0005841768872813412_0.000492095594792763_0.00041705517825285215_0.0003579766786750124_0.00031017628906768104_0.0002733365294987477_0.00024374527640933337_0.00022143034361686922_0.0002034978106050462_0.0001901303678358211_0.00017919837897854328_0.00017097122946916452_0.0001639878965425201_0.00015855161307703553_0.00015370951010206053_0.000149747943657868_0.00014605945182786213_0.00014288376175469413_0.00013983474928250486_0.00013709792652541534_0.00013442617423956374_0.00013195595228873187_0.00012952750025938816_0.00012723790836341787_0.00012498283107906133_0.00012282979285670856_0.00012071000394067908_0.00011866965613400754_0.00011666301866616671_0.00011472127873559572_0.00011281379581974756_0.00011096138229493973_0.0001091433457857337_0.00010737341101692869_0.00010563748314539403_0.00010394448839391261_0.00010228472943856517_0.00010066390742757784_9.907526953067909e-05_9.752236340280922e-05_9.600041669899416e-05_9.451154846809755e-05_9.305232499743165e-05_9.162392453114256e-05_9.022382336035069e-05_8.88525857575284e-05_8.750831100748501e-05_8.619116752825771e-05_8.489968489578733e-05_8.36337806585572e-05_8.239228491386405e-05_8.117496028692079e-05_7.998084969671935e-05_7.880962399905436e-05_7.766047940474848e-05_7.653303628161292e-05_7.542660349687347e-05_7.434077766129802e-05_7.327495236080157e-05_7.222871752897455e-05_7.120153208593117e-05_7.019298998921153e-05
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,CG,NA,no_preconditioner,1.0_3.0013440081385974_0.6323182938296306_0.4400400315662333_0.2954838058960091_0.2354782958544397_0.16237741551877488_0.12243411638381445_0.09604104807733445_0.10037186482720968_0.27272448876436595_0.09430962986910695_0.07707798984381245_0.06660204663992364_0.05754004739532327_0.05589030104147245_0.050134908931266146_0.4194692442426755_0.04316376981291389_0.039618424988317476_0.04005792300031019_0.03245400662299799_0.03186935155222497_0.061020643317344206_0.040990613447634015_0.05053353502205673_0.027670449794764303_0.023049023507730856_0.021662001325658767_0.02174549232075352_0.03142869928351152_0.020863812008788528_0.14534340279741348_0.015270588762343502_0.014816619166891675_0.02303970175528806_0.013432360925815555_0.011475879322132666_0.010008809578020052_0.11589374291220093_0.010963648938167526_0.015506768901526885_0.009277386465221657_0.013112066326721595_0.007395586779390857_0.006777250040930343_0.01025459204157574_0.008685778858356499_0.005778554896226881_0.005115027336726399_0.007001396988486176_0.004176165903445056_0.003730883579141355_0.008111478921048418_0.0034461359860648425_0.0064205265125859695_0.0034284909149614132_0.003014627237920388_0.002197559356436729_0.003317452273197415_0.002476110535133436_0.017488273840058525_0.002444916639517187_0.002381240544809782_0.0023544494260265237_0.0017854131601011312_0.0013179920652280444_0.0012966244147043578_0.013276160096463518_0.0011287665901711335_0.0009575346034397645_0.001227008660116116_0.0010303997562079177_0.0007565352096966401_0.0008176581251688948_0.00623581611101384_0.000858371870732491_0.0007228085574993461_0.0008126087343735419_0.0007661662430211001_0.0006759284021639542_0.0006018165940100413_0.0005023713392640645_0.0032422952059606054_0.00037612499756291235_0.000367957918365236_0.0004760169391337312_0.0002971497879271952_0.0003790387316132258_0.00039688517715396455_0.0018283056071011722_0.0003144177813991939_0.00021156501001293903_0.00017064435095213187_0.00016839077675814_0.0004134168921254371_0.00018916832170679245_0.0006447632963258878_0.000149571611591912_0.00011389468311503663
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,SVRG,NA,no_preconditioner,0.9606001928024012_0.9455364983191766_0.9333684481820197_0.9217589603662819_0.9104506810760314_0.8994087458147842_0.8886222678923188_0.8780831633163597_0.8677838853122174_0.8577171746199429_0.8478760248710787_0.8382536711348858_0.8288435811777637_0.8196394472502658_0.8106351781631433_0.8018248916214323_0.7932029068077977_0.784763737208753_0.7765020836776855_0.7684128277286839_0.7604910250552244_0.7527318992678151_0.7451308358447659_0.7376833762902947_0.7303852124942589_0.723232181287856_0.7162202591897111_0.7093455573368427_0.70260431659508_0.6959929028435743_0.6895078024281442_0.6831456177782749_0.6769030631826803_0.6707769607184381_0.664764236328793_0.6588619160448304_0.653067122346315_0.6473770706570963_0.6417890659705809_0.6363004996008788_0.6309088460553339_0.6256116600242555_0.620406573483773_0.6152912929078417_0.6102635965855343_0.6053213320398597_0.6004624135444518_0.5956848197345821_0.5909865913090461_0.5863658288195842_0.581820690544594_0.5773493904439911_0.5729501961921807_0.5686214272861901_0.5643614532261189_0.5601686917651459_0.5560416072264357_0.5519787088843697_0.5479785494076184_0.544039723361658_0.5401608657684178_0.5363406507208294_0.532577790050125_0.5288710320438141_0.5252191602123433_0.521620992102514_0.5180753781558117_0.5145812006098613_0.5111373724413001_0.5077428363484162_0.5043965637719722_0.5010975539526873_0.49784483302391697_0.49463745313812424_0.4914744916257887_0.48835505018546077_0.48527825410371134_0.48224325150378466_0.4792492126218055_0.47629532910943856_0.473380813361946_0.4705048978706274_0.4676668345986706_0.4648658943794826_0.462101366336603_0.4593725573243465_0.45667879138835044_0.4540194092452387_0.4513937677806495_0.44880123956489965_0.4462412123855943_0.44371308879651494_0.44121628568214966_0.4387502338372545_0.43631437756086_0.43390817426416284_0.43153109409176443_0.42918261955574166_0.4268622451820562_0.4245694771688287
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,AMSGrad,NA,no_preconditioner,0.3585348634495337_0.20099890549016936_0.16634354116370306_0.1528835221638789_0.14678188350584045_0.14375295444774877_0.14218127624238242_0.14137250140080768_0.14099390396573613_0.14087071581349814_0.14090406331259647_0.14103459581897762_0.14122500229017862_0.14145097571965784_0.14169629944484585_0.14195004468388311_0.14220478603782719_0.1424554728647934_0.14269872452847487_0.14293231246272106_0.14315481908732575_0.14336541657787838_0.14356368767471225_0.1438630506934035_0.14456555165788432_0.145302373719389_0.14606824450220085_0.14685903457749921_0.1476709763956945_0.14850078030173006_0.14934555786384668_0.150202774039553_0.1510701778979535_0.15194575762008986_0.15282773444998252_0.1537145573361725_0.15460485947389493_0.1554974520873949_0.15639128375779737_0.15728543379880755_0.1581790982553371_0.1590715668981076_0.1599622258804379_0.16085053189878284_0.16173601428033216_0.16261825425396076_0.16349687653194445_0.16437154608135654_0.16524196280584558_0.16610785484937257_0.1669689756165056_0.16782510588570043_0.16867606329498303_0.16952168851988414_0.1703618374464296_0.17119639173754483_0.17202525037539512_0.17284832777062947_0.17366555325069366_0.17447686609749075_0.1752822197266117_0.17608158417720415_0.17687493856172298_0.17766226347176048_0.17844354971482917_0.17921879799157267_0.179988019916986_0.18075123570797713_0.18150846802330198_0.1822597439518072_0.18300509170006568_0.18374454476082944_0.18447814212321637_0.18520592594229024_0.18592794226639175_0.1866442394772636_0.18735486320841582_0.18805985641211204_0.1887592638812131_0.1894531335402328_0.19014151326261158_0.19082445387906816_0.19150200518340746_0.1921742153642898_0.19284112920702567_0.19350278948142735_0.19415924070612467_0.19481052623457956_0.19545668839146663_0.19609776350066702_0.19673378623667453_0.19736479183648697_0.19799081464863727_0.19861188635668356_0.19922803872456565_0.1998393003073053_0.200445699855805_0.2010472661872664_0.2016440270520897_0.20223600886679258
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,CG,0.6180788046019958,1024,1.0_0.3353300799865059_0.06293922963038194_0.01244615687012024_0.0025954882053121665_0.002612542530273261_0.001697498738474208_0.0007766290196078527_0.000238301691655762_5.4891642220000656e-05_3.669898855390945e-05_2.6640599694875524e-05_1.3182293953510535e-05_4.678361111561476e-06_1.2390069499945812e-06_6.013868164747719e-07
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18500497156080836_-0.9688407884695313_-2.3766176234444494,16384,SVRG,0.6180788046019958,1024,0.08276884372464641_0.13812629165135737_0.2656825651510646_0.1914783261733417_0.15806878096110796_0.13300953935229087_0.11670945361679479_0.10395448251452605_0.09460570946109328_0.08713327969258473_0.0812924859117859_0.07650002091705146_0.07257554584784186_0.0692596420227636_0.06643979048296851_0.0639889503901349_0.061839931441572966_0.05992613472509687_0.0582074562736736_0.05664696356667074_0.05522025213341404_0.053905756464064716_0.05268818271055482_0.051554300447606095_0.05049418937129774_0.04949933739865824_0.04856307029271336_0.047679658417140135_0.046844443549711845_0.046053402486552056_0.04530316631779057_0.044590798146342404_0.04391377843853578_0.04326988669228587_0.04265717964772166_0.04207392534607621_0.041518583071171226_0.04098976488699042_0.04048621952745816_0.04000680895745525_0.03955049613816609_0.03911633015063022_0.038703437122960836_0.03831101043146937_0.03793830402078736_0.0375846257262294_0.03724933234020159_0.03693182491404185_0.036631545075488124_0.03634797161924851_0.036080617712825766_0.03582902834466861_0.03559277815893327_0.03537146948501029_0.035164730618196346_0.03497221425003159_0.03479359606680152_0.034628573460857515_0.03447686435784213_0.0343382061286656_0.034212354583771754_0.03409908303160172_0.03399818139743104_0.033909455391750144_0.033832725724606924_0.03376782735927955_0.03371460880241112_0.03367293142649879_0.03364266882261002_0.03362370618077523_0.033615939696568654_0.03361927600228661_0.0019983722342607484_0.00030013745284080854_0.0001364156740076293_0.00010224057844084866_7.525481336076986e-05_5.6362535678528316e-05_4.262706853888652e-05_3.2495323442617565e-05_2.4933682145275684e-05_1.9239401663384512e-05_1.4920022265550953e-05_1.1623356174281297e-05_9.093654221858324e-06_7.143018080179809e-06_5.632123891592471e-06_4.45688980373405e-06_3.5390717455979142e-06_2.819528209639326e-06_2.2533385201571086e-06_1.8062306845963776e-06_1.4519472781812053e-06_1.1702905540575869e-06_9.456637406119398e-07
