Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Tuning_Time,NMLL,optimizer,random_seed
aav_eval/conv_features/des_mut_split,RBF,-0.8072863_-0.19271800000000003_-5.265284,3000,298.42179584503174,117897.018,bayes,123
aav_eval/conv_features/des_mut_split,RBF,-0.8072863_0.21309650000000002_-5.5460602,3000,188.33270287513733,117302.071,bayes,124
aav_eval/conv_features/des_mut_split,RBF,-0.8072863_0.3101371999999999_-5.603476,3000,188.86539840698242,118501.791,bayes,125
aav_eval/onehot_conv/des_mut_split,Conv1d,-0.852417_-1.6094379_-0.8355780000000002,3000,219.0603473186493,110463.082,bayes,123
aav_eval/onehot_conv/des_mut_split,Conv1d,-0.852417_-1.6094379_-0.8028036999999999,3000,205.0491361618042,109463.951,bayes,124
aav_eval/onehot_conv/des_mut_split,Conv1d,-0.852417_-1.6094379_-0.820132,3000,205.8836760520935,110596.694,bayes,125
aav_eval/onehot_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.7899,3000,224.0895130634308,110087.601,bayes,123
aav_eval/onehot_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.7825066,3000,223.54433298110962,111574.086,bayes,124
aav_eval/onehot_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.7914761,3000,223.82876229286194,110903.27,bayes,125
aav_eval/onehot/des_mut_split,RBF,-0.9426783000000001_-0.6907211999999999_-1.929926,3000,172.73173999786377,92842.944,bayes,123
aav_eval/onehot/des_mut_split,RBF,-0.9426783000000001_-0.7518567_-1.8843910999999998,3000,174.3115677833557,93599.299,bayes,124
aav_eval/onehot/des_mut_split,RBF,-0.9426783000000001_-0.7877618_-1.8605029,3000,171.86860537528992,92861.387,bayes,125
aav_eval/conv_features/mut_des_split,RBF,-0.6826396999999998_-0.151961_-4.850824,3000,156.41070747375488,57120.38,bayes,123
aav_eval/conv_features/mut_des_split,RBF,-0.6826396999999998_-0.151961_-4.828332,3000,130.1757731437683,56943.139,bayes,124
aav_eval/conv_features/mut_des_split,RBF,-0.6826396999999998_-0.09567739999999995_-4.8745935,3000,130.11105704307556,57985.844,bayes,125
aav_eval/onehot_conv/mut_des_split,Conv1d,-0.6826396999999998_-1.6094379_-0.4604399,3000,122.58894419670105,56939.846,bayes,123
aav_eval/onehot_conv/mut_des_split,Conv1d,-0.6826396999999998_-1.6094379_-0.48122960000000004,3000,122.328439950943,56639.817,bayes,124
aav_eval/onehot_conv/mut_des_split,Conv1d,-0.6826396999999998_-1.6094379_-0.4520782,3000,122.7897801399231,56831.483,bayes,125
aav_eval/onehot_conv/mut_des_split,FHTConv1d,-0.6826396999999998_-1.6094379_-0.5116856,3000,137.80505633354187,56831.841,bayes,123
aav_eval/onehot_conv/mut_des_split,FHTConv1d,-0.6826396999999998_-1.6094379_-0.4975708,3000,137.27616095542908,56900.264,bayes,124
aav_eval/onehot_conv/mut_des_split,FHTConv1d,-0.6826396999999998_-1.6094379_-0.48680179999999995,3000,137.56437230110168,57218.621,bayes,125
aav_eval/onehot/mut_des_split,RBF,-0.7277703999999999_-0.17233950000000003_-1.4118525999999998,3000,113.18779158592224,54680.3,bayes,123
