Dataset,Kernel_Type,Hyperparams,Num_Fit_RFFs,Fitting_Time,Test_MAE
full_soap,GraphRBF,-8.00_1.00_1,16384,1247.7154955863953,0.2349601900844442,u298_atom
full_soap,GraphRBF,-8.00_1.00_1,32768,2450.2306327819824,0.18280067687697146,u298_atom
full_soap,GraphRBF,-8.00_1.00_1,65536,5784.8708074092865,0.1643846101979545,u298_atom
full_soap,GraphRBF,-8.00_1.00_1,16384,495.71542978286743,0.23496336875698587,h298_atom
full_soap,GraphRBF,-8.00_1.00_1,32768,1405.947184562683,0.1828472893143697,h298_atom
full_soap,GraphRBF,-8.00_1.00_1,65536,4784.81494140625,0.16438092252618758,h298_atom
full_soap,GraphRBF,-8.00_1.00_1,16384,499.9068126678467,0.23438714587668846,u0_atom
full_soap,GraphRBF,-8.00_1.00_1,32768,1584.715078830719,0.18229753519685993,u0_atom
full_soap,GraphRBF,-8.00_1.00_1,65536,4936.598115205765,0.1641792437146772,u0_atom
full_soap,GraphRBF,-8.00_1.00_1,16384,510.2421941757202,4.567596207579008e-05,zpve
full_soap,GraphRBF,-8.00_1.00_1,32768,1380.3401951789856,4.2795475003077405e-05,zpve
full_soap,GraphRBF,-8.00_1.00_1,65536,3703.0557973384857,4.120614088897655e-05,zpve
full_soap,GraphRBF,-8.00_1.00_1,16384,480.3163356781006,0.026059653611501102,cv
full_soap,GraphRBF,-8.00_1.00_1,32768,1866.5420055389404,0.02355363666855647,cv
full_soap,GraphRBF,-8.00_1.00_1,65536,5694.16760969162,0.022391845928206387,cv
full_soap,GraphRBF,-8.00_1.00_1,16384,508.58876872062683,0.2561840667309969,g298_atom
full_soap,GraphRBF,-8.00_1.00_1,32768,1847.325511455536,0.2045892347344344,g298_atom
full_soap,GraphRBF,-8.00_1.00_1,65536,5972.864822387695,0.187397364107854,g298_atom
