Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Tuning_Time,Num_func_evals,optimizer,marginal_negloglik
kin40k_dataset_y_norm,RBF,-0.8396497_1.6094379_-0.8413665,512,9.990100860595703,17,bayes,20190.022
kin40k_dataset_y_norm,RBF,-0.8395165618818221_1.6094379124341003_-0.8322853012611596,512,9.573609590530396,116,bfgs,20188.824821632938
song_dataset_y_norm,RBF,-0.1613285_-0.4099842_-2.5848679,512,11.641335487365723,17,bayes,519545.929
song_dataset_y_norm,RBF,-0.16133619996895995_-0.4471483963846051_-2.5453320840222817,512,120.26956605911255,123,bfgs,519532.5123163577
uci_protein_dataset_y_norm,RBF,-0.3209665_0.6613575_-0.152054,512,4.229196071624756,21,bayes,41062.649
uci_protein_dataset_y_norm,RBF,-0.3210671664389427_0.7016421439374462_-0.17479137858159974,512,8.602367639541626,93,bfgs,41057.23504413667
conv_features_onehot_conv_standard,RBF,-0.276036_1.1854368_-4.3512135,512,9.75191617012024,18,bayes,31479.766
conv_features_onehot_conv_standard,RBF,-0.27680998543331875_1.1508234856832154_-4.3277653563576415,512,71.69631433486938,195,bfgs,31480.060708341545
gb1_eval_onehot_three_vs_rest,RBF,-0.5274052_0.3913066_-0.8413665,512,2.49767804145813,17,bayes,2805.86
gb1_eval_onehot_three_vs_rest,RBF,-0.5274856787288625_0.3826183617205275_-0.8352335972190186,512,1.5702235698699951,115,bfgs,2805.8513876065294
gb1_eval_onehot_two_vs_rest,RBF,-0.6714499_0.7198113_-1.0077149,512,2.1503450870513916,17,bayes,423.253
gb1_eval_onehot_two_vs_rest,RBF,-0.6713223585567414_0.720759886662287_-1.008629378358694,512,0.944392204284668,119,bfgs,423.2526204466329
conv_features_onehot_conv_mut_des_split,RBF,-0.4616901_-0.1420816_-4.9414295,512,21.625062227249146,18,bayes,72040.703
conv_features_onehot_conv_mut_des_split,RBF,-0.4627598970797654_-0.37812463250899475_-4.7288316147884855,512,171.8345959186554,173,bfgs,71968.56607334371
conv_features_onehot_conv_seven_vs_many_split,RBF,-0.4778059_0.7386203_-5.4987212,512,16.788638830184937,16,bayes,60168.598
conv_features_onehot_conv_seven_vs_many_split,RBF,-0.4799770717077686_-0.1340091978600298_-4.871506359751456,512,115.70602560043335,137,bfgs,60012.057187685605
