Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Fitting_Time,Spearmanr,optimizer
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/des_mut_split,RBF,[-0.8072863  0.2130965 -5.5460602],3000,8192,188.311813831329,0.764464653765711,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/des_mut_split,RBF,[-0.8072863 -0.192718  -5.265284 ],3000,8192,103.403832674026,0.759197674758721,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/des_mut_split,RBF,[-0.8072863  0.3101372 -5.603476 ],3000,8192,118.848720550537,0.760552714023039,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/des_mut_split,RBF,[-0.8072863  0.2130965 -5.5460602],3000,16384,199.04344201088,0.774477063611561,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/des_mut_split,RBF,[-0.8072863 -0.192718  -5.265284 ],3000,16384,114.533310651779,0.777165179144865,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/des_mut_split,RBF,[-0.8072863  0.3101372 -5.603476 ],3000,16384,124.054391860962,0.775444750961894,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/mut_des_split,RBF,[-0.6826397 -0.151961  -4.828332 ],3000,8192,57.4073593616486,0.742007637248027,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/mut_des_split,RBF,[-0.6826397 -0.151961  -4.850824 ],3000,8192,29.0810046195984,0.744304668186911,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/mut_des_split,RBF,[-0.6826397 -0.0956774 -4.8745935],3000,8192,29.0366117954254,0.754598915611675,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/mut_des_split,RBF,[-0.6826397 -0.151961  -4.828332 ],3000,16384,60.2917366027832,0.753590293496205,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/mut_des_split,RBF,[-0.6826397 -0.151961  -4.850824 ],3000,16384,36.627827167511,0.759862084437677,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/mut_des_split,RBF,[-0.6826397 -0.0956774 -4.8745935],3000,16384,37.8342967033386,0.758704111731886,bayes
benchmarking_xGPR/benchmark_evals/aav_eval/conv_features/one_vs_many_split,RBF,[-0.9426783  0.2334751 -4.2728696],3000,8192,1.36817765235901,0.780716066280423,bayes
