Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Fitting_Time,Spearmanr,random_seed
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,[-0.7621557 -0.3460422 -4.6819184],NA,8192,136.78369569778442,0.7841513027430924,123
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,[-0.7621557 -0.3460422 -4.6819184],NA,16384,88.43347001075745,0.7999262705689278,123
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,[-0.7621557 -0.2693801 -4.7177659],NA,8192,73.30211162567139,0.7903345885407219,124
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,[-0.7621557 -0.2693801 -4.7177659],NA,16384,93.36948537826538,0.7967053493835032,124
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,[-0.7621557 -0.2693801 -4.7434719],NA,8192,73.41876268386841,0.7864778685142143,125
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,[-0.7621557 -0.2693801 -4.7434719],NA,16384,90.9093246459961,0.799902900826746,125
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.3697522],NA,8192,93.19423985481262,0.7742382203481953,123
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.3697522],NA,16384,235.09041666984558,0.785086233372592,123
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.3697522],NA,8192,93.10504102706909,0.777941304978871,124
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.3697522],NA,16384,235.2090311050415,0.7907142916351544,124
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.3964609],NA,8192,96.07692384719849,0.7832923118953525,125
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,[-0.852417  -1.6094379 -0.3964609],NA,16384,235.2737331390381,0.7911787781487507,125
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,[-0.7277704 -1.6094379 -0.0580175],NA,8192,39.928332567214966,0.7418745947774114,123
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,[-0.7277704 -1.6094379 -0.0580175],NA,16384,82.58626246452332,0.7632170618860372,123
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,[-0.7277704 -1.6094379 -0.039887 ],NA,8192,39.87861227989197,0.727755895028154,124
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,[-0.7277704 -1.6094379 -0.039887 ],NA,16384,82.7587366104126,0.7506584704963428,124
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,[-0.7277704 -1.6094379 -0.039887 ],NA,8192,39.87363910675049,0.7280659296931151,125
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,[-0.7277704 -1.6094379 -0.039887 ],NA,16384,85.13452076911926,0.75177625861915,125
aav_eval/conv_features/PFASUM62_standardized_conv/mut_des_split,RBF,[-0.7277704 -0.2693801 -4.2868441],NA,8192,51.29616451263428,0.7445972460667554,123
