Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Tuning_Time,NMLL,random_seed
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,-0.7621557_-0.34604219999999997_-4.6819184,tune_details[1],268.38163709640503,119286.447,123
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,-0.7621557_-0.26938010000000007_-4.7177659,tune_details[1],189.84101104736328,119337.046,124
aav_eval/conv_features/PFASUM62_standardized_conv/des_mut_split,RBF,-0.7621557_-0.26938010000000007_-4.7434719,tune_details[1],189.24989867210388,119503.388,125
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.36975220000000003,tune_details[1],195.3098168373108,109113.145,123
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.36975220000000003,tune_details[1],194.5955936908722,108849.398,124
aav_eval/PFASUM62_standardized_conv/des_mut_split,FHTConv1d,-0.852417_-1.6094379_-0.39646090000000006,tune_details[1],221.59701323509216,109173.76,125
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.05801750000000006,tune_details[1],125.21968483924866,54949.185,123
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.03988699999999998,tune_details[1],124.84355854988098,54736.502,124
aav_eval/PFASUM62_standardized_conv/mut_des_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.03988699999999998,tune_details[1],125.08421349525452,55048.06,125
aav_eval/conv_features/PFASUM62_standardized_conv/mut_des_split,RBF,-0.7277703999999999_-0.26938010000000007_-4.2868441,tune_details[1],151.12182545661926,54971.501,123
aav_eval/conv_features/PFASUM62_standardized_conv/mut_des_split,RBF,-0.7277703999999999_-0.2897586_-4.2728696,tune_details[1],128.05772304534912,54445.225,124
aav_eval/conv_features/PFASUM62_standardized_conv/mut_des_split,RBF,-0.7277703999999999_-0.2897586_-4.272758,tune_details[1],127.98476457595825,55037.432,125
aav_eval/conv_features/PFASUM62_standardized_conv/seven_vs_many_split,RBF,-0.7277703999999999_0.019015299999999978_-4.4494129,tune_details[1],140.71169209480286,45552.814,123
aav_eval/conv_features/PFASUM62_standardized_conv/seven_vs_many_split,RBF,-0.7729011_-0.019015299999999923_-4.4155039,tune_details[1],120.29861116409302,45064.057,124
aav_eval/conv_features/PFASUM62_standardized_conv/seven_vs_many_split,RBF,-0.7277703999999999_-0.019015299999999923_-4.4155039,tune_details[1],121.42200207710266,45372.914,125
aav_eval/PFASUM62_standardized_conv/seven_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.06841140000000001,tune_details[1],117.26965498924255,44643.253,123
aav_eval/PFASUM62_standardized_conv/seven_vs_many_split,FHTConv1d,-0.7729011_-1.6094379_-0.06841140000000001,tune_details[1],117.03042578697205,44415.47,124
aav_eval/PFASUM62_standardized_conv/seven_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.06915090000000004,tune_details[1],116.7145164012909,44659.305,125
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,-0.8072863_0.21309650000000002_-4.3919682,tune_details[1],106.86507272720337,20453.011,123
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,-0.8072863_0.15196099999999996_-4.3512135,tune_details[1],97.30411982536316,20207.976,124
aav_eval/conv_features/PFASUM62_standardized_conv/two_vs_many_split,RBF,-0.8072863_0.24900159999999985_-4.4155039,tune_details[1],98.01457786560059,20431.465,125
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,-0.7729011_-1.6094379_-0.014963299999999973,tune_details[1],90.37432098388672,20558.535,123
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,-0.7729011_-1.6094379_-0.0029029999999998462,tune_details[1],90.8903295993805,20529.571,124
aav_eval/PFASUM62_standardized_conv/two_vs_many_split,FHTConv1d,-0.7277703999999999_-1.6094379_-0.03837409999999991,tune_details[1],91.21982598304749,20603.686,125
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,-1.1859337_0.15196099999999996_-3.6250111,tune_details[1],51.64208221435547,934.29,123
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,-1.3213257_0.039393900000000134_-3.4598712,tune_details[1],51.27328372001648,909.361,124
aav_eval/conv_features/PFASUM62_standardized_conv/one_vs_many_split,RBF,-1.2310643_0.07529889999999988_-3.4911382,tune_details[1],51.27218174934387,947.493,125
aav_eval/PFASUM62_standardized_conv/one_vs_many_split,FHTConv1d,-0.852417_-0.6254812000000001_-0.4991529000000001,tune_details[1],58.69077706336975,832.885,123
