Dataset,Epochs,Mbatch_size,Inducing_pts,Time,MAE
kin40k_dataset,20,1000,500,14.629709,0.187201
song_dataset,20,1000,500,191.756128,0.570566
uci_protein_dataset,20,1000,500,16.827276,0.566337
kin40k_dataset,20,1000,3000,810.973563,0.114358
song_dataset,20,1000,3000,10488.038131,0.566781
uci_protein_dataset,20,1000,3000,936.071023,0.512335
kin40k_dataset,40,1000,500,30.228272,0.165673
song_dataset,40,1000,500,385.304782,0.569032
uci_protein_dataset,40,1000,500,33.647581,0.554984
kin40k_dataset,40,1000,3000,1616.277036,0.099969
song_dataset,40,1000,3000,20896.084395,0.566467
uci_protein_dataset,40,1000,3000,1868.344123,0.501398
