Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Tuning_Time,Num_func_evals,Fitting_Time,Spearmanr,MAE,optimizer
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.5362336_1.1576712999999998_-0.45822980000000013,3000,8192,75.48022603988647,16,8.222514152526855,0.9888481116851269,0.11980312326653673,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.5362336_1.1576712999999998_-0.45822980000000013,3000,16384,75.48022603988647,16,16.036898612976074,0.992821711848777,0.09907023275906883,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.5362336_1.1576712999999998_-0.45822980000000013,3000,32768,75.48022603988647,16,30.794256925582886,0.9944734354917726,0.08678512074812472,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.9161617978695435_1.7542747479544818_-0.4978738033501317,8192,8192,746.3220620155334,45,10.16641092300415,0.9900458262897787,0.11324854057485173,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.9161617978695435_1.7542747479544818_-0.4978738033501317,8192,16384,746.3220620155334,45,20.947935342788696,0.9937239804488125,0.09231833019775994,bayes
benchmarking_xGPR/benchmark_evals/kin40k_dataset/y_norm,RBF,-1.9161617978695435_1.7542747479544818_-0.4978738033501317,8192,32768,746.3220620155334,45,40.91174101829529,0.9951351846193,0.07975313308944061,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21373110000000003_-0.6140591000000001_-2.3567654,3000,8192,313.3511986732483,16,25.5110182762146,0.5647686334939215,0.5757974243637484,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21373110000000003_-0.6140591000000001_-2.3567654,3000,16384,313.3511986732483,16,49.42397952079773,0.572110834526892,0.5711697720614405,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21373110000000003_-0.6140591000000001_-2.3567654,3000,32768,313.3511986732483,16,99.25618648529053,0.575956111611156,0.5679916415442188,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.22030142227544042_-0.3739008530414449_-2.2757513748383595,8192,8192,1678.3354601860046,42,26.42467451095581,0.5622136683895779,0.5776380783652852,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.22030142227544042_-0.3739008530414449_-2.2757513748383595,8192,16384,1678.3354601860046,42,55.98293161392212,0.5693209488232315,0.5732551891618899,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.22030142227544042_-0.3739008530414449_-2.2757513748383595,8192,32768,1678.3354601860046,42,110.45916223526001,0.5741269379852287,0.5693367775078924,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4226011_0.3229372999999999_0.32768659999999994,3000,8192,80.30315589904785,16,3.830280065536499,0.7757278999611511,0.4830281103362086,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4226011_0.3229372999999999_0.32768659999999994,3000,16384,80.30315589904785,16,6.7658607959747314,0.7794508965117224,0.47521907250164486,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4226011_0.3229372999999999_0.32768659999999994,3000,32768,80.30315589904785,16,12.567056894302368,0.7857136494898622,0.46797885751447105,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4922624983567791_0.404394034620408_0.6126078379169644,8192,8192,315.4398903846741,40,4.7198896408081055,0.7883172223331217,0.4647896248463064,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4922624983567791_0.404394034620408_0.6126078379169644,8192,16384,315.4398903846741,40,8.368000984191895,0.7947769759992653,0.45398393840647,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4922624983567791_0.404394034620408_0.6126078379169644,8192,32768,315.4398903846741,40,15.917876958847046,0.800098993153887,0.44545199285306064,bayes
